                   mean         std        2.5q         25q         50q        75q      97.5q       mc err
v_subj.5019     1.66243    0.152103     1.38034      1.5573     1.65372       1.76    1.98605   0.00757067
v_subj.5020     2.09944    0.149772      1.8135     1.99515     2.09713    2.19437    2.39713   0.00661626
v_subj.5021     1.39809    0.117542     1.16661     1.31747     1.39777     1.4784    1.62171   0.00324959
v_subj.5022     1.18161    0.109077    0.966651     1.10967     1.17986    1.25326     1.4043   0.00240625
v_subj.5023   0.0607314    0.129645   -0.197566  -0.0282456   0.0581106   0.149672   0.311975   0.00239373
v_subj.5024    0.559159    0.112134    0.340525    0.482891    0.561591    0.63244   0.783724   0.00264448
v_subj.5025     1.38115    0.119502     1.15901     1.30113      1.3784    1.45702    1.62322    0.0032941
v_subj.5026     1.58885    0.129902     1.33754     1.49933     1.58739     1.6738    1.85893   0.00349424
v_subj.5027     1.39787    0.185093     1.04916     1.26933     1.39364    1.52806    1.75406   0.00428356
v_subj.5028    0.993112    0.114031     0.76745     0.91538    0.993531    1.06809     1.2219   0.00238796
v_subj.5029     1.62056    0.142595     1.34549     1.52701     1.61689    1.71214    1.91142   0.00522603
v_subj.5030     1.19656    0.111137    0.973348      1.1236      1.1965     1.2689    1.41905   0.00331529
v_subj.5031     1.57044    0.135537     1.32107     1.47224     1.56756    1.66576    1.83531   0.00552227
v_subj.5032     2.30181    0.186903      1.9343      2.1815      2.2992    2.43057    2.66244    0.0041937
v_subj.5033     1.39524    0.117878      1.1618     1.31305      1.3931    1.47596    1.62567   0.00302889
v_subj.5034    0.547479    0.119307    0.312144    0.469598    0.549443   0.628595   0.777644   0.00241175
v_subj.5035     1.00511    0.105994    0.800963    0.930656     1.00366    1.07612    1.21484   0.00231549
v_subj.5036     1.51211    0.141053     1.24584     1.41743     1.50768    1.59386    1.81858   0.00534626
v_subj.5037      1.3256    0.115097     1.10759     1.24441     1.32187    1.40199    1.56291   0.00316171
v_subj.5038    0.974246    0.104722    0.767723    0.907274    0.972152    1.04294    1.18361   0.00213143
v_subj.5039     1.14554    0.113122    0.929097     1.06611     1.14811    1.22307    1.37363   0.00244092
v_subj.5040      1.3469    0.115848     1.12424     1.27147     1.34513    1.42463    1.57059   0.00263163
v_subj.5041    0.779491    0.107379    0.572383    0.708459     0.77895    0.85114    0.99165   0.00214524
v_subj.5042    0.465561    0.125201    0.219518    0.381469    0.466213   0.549955   0.712965   0.00276147
v_subj.5043    0.752844   0.0982567    0.563436    0.686715    0.752487   0.820742   0.944137   0.00220683
v_subj.5044    0.568153     0.10359    0.371168    0.496222    0.568308    0.63786   0.773208   0.00217301
v_subj.5045    0.504098    0.104255     0.29682     0.43274    0.504556   0.572086   0.711572   0.00205942
v_subj.5046    0.604792   0.0930303    0.424075    0.542463    0.604875   0.666355   0.789838   0.00221721
v_subj.5047     1.79223    0.145801     1.51056     1.69281      1.7938    1.88877      2.071   0.00316667
v_subj.5048     1.45533    0.123456     1.21016     1.37158     1.45384    1.54106    1.69867   0.00337072
v_subj.5049     1.29661    0.110038     1.08101     1.22384     1.29574     1.3708    1.51783   0.00259361
v_subj.5050    0.399967     0.09639    0.208554    0.333329     0.40243   0.467182   0.584547   0.00246913
v_subj.5051     1.17667    0.107938    0.973785     1.10098     1.17599    1.24831     1.3911    0.0027867
v_subj.5052    0.642339    0.100086    0.445452    0.573829     0.64359   0.707409   0.839799   0.00206195
v_subj.5053     1.09447    0.109896    0.883405     1.02059     1.09203    1.16653    1.31749   0.00247946
v_subj.5054      1.7208    0.140274     1.45324     1.62617     1.71498    1.81252    2.00783   0.00443937
v_subj.5055     1.45851     0.11937     1.23221     1.37668     1.45696    1.53782    1.69967   0.00347371
v_subj.5056     1.06203   0.0985225    0.872786    0.996168     1.06136    1.12795     1.2582   0.00239857
v_subj.5057     1.69755    0.132208     1.43795     1.60828      1.6954    1.78869    1.95123   0.00440175
v_subj.5058     1.15499    0.118933    0.921564     1.07462      1.1553    1.23364    1.38279   0.00298204
v_subj.5059     1.26202    0.116656     1.03488     1.18152     1.26148     1.3378    1.49446   0.00255204
v_subj.5060     1.77924    0.142248     1.50685     1.68159     1.77647    1.87556    2.07359   0.00430507
v_subj.5061    0.664975   0.0911403    0.482591    0.604453    0.665325   0.724541   0.842744    0.0021703
v_subj.5062     1.30649    0.129153     1.06235     1.21824     1.30578    1.38874    1.56721   0.00294868
v_subj.5063     1.09844    0.106076    0.889546     1.02856     1.09597     1.1666     1.3086   0.00269397
v_subj.5064     1.43207    0.114015     1.20362     1.35647     1.43097    1.50351    1.66206    0.0031382
v_subj.5065      1.3629    0.117797     1.12287     1.28444     1.36037    1.44267    1.59254   0.00291325
v_subj.5066     1.20102    0.112793    0.986453     1.12262         1.2      1.277    1.42164   0.00279166
