,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_subj(ConStay).5055,1.62381828592,0.221146348669,1.17690608095,1.48085778215,1.62390001388,1.77023341053,2.06073778167,0.00309521762038
v_subj(ConSwitch).5055,1.51993244237,0.207550390573,1.12077702183,1.37493476712,1.51776324536,1.66059759327,1.92927450726,0.0030192575324
v_subj(IncStay).5055,1.31791975158,0.236480617246,0.88185694005,1.15310102922,1.30789099572,1.47277760486,1.80691326228,0.00359254673392
v_subj(IncSwitch).5055,1.33448834801,0.18677032448,0.969457420317,1.2043049752,1.33871934154,1.45879028088,1.70076680376,0.00310843232908
v_subj(ConStay).5056,1.50040431152,0.221612739224,1.08079637023,1.35261092758,1.49941448833,1.65221145411,1.93718317257,0.00280752591401
v_subj(ConSwitch).5056,0.692962800645,0.16026473573,0.375538017238,0.584410293697,0.693484466019,0.801601248259,1.00648992742,0.00214981527981
v_subj(IncStay).5056,1.58067444325,0.196696837881,1.19775757581,1.44949908716,1.57844195728,1.71220466403,1.96567288186,0.00313137668289
v_subj(IncSwitch).5056,0.945849954319,0.176496792682,0.598924840689,0.828082045225,0.944204902135,1.06419223808,1.29048766962,0.00238530731527
v_subj(ConStay).5057,2.0841443833,0.237432763592,1.62947160478,1.92010068688,2.07902763054,2.24536282019,2.55608667832,0.00379850529023
v_subj(ConSwitch).5057,1.52525743341,0.22239347101,1.10070837333,1.37249156335,1.52443943903,1.67485987656,1.9608981522,0.00385767108056
v_subj(IncStay).5057,1.48060116921,0.222627900083,1.04579732082,1.33440414275,1.48093201784,1.63068581236,1.9253892437,0.00401998540289
v_subj(IncSwitch).5057,1.62496052112,0.22563576046,1.18175714229,1.47099602622,1.62355979651,1.77688931111,2.0716336251,0.00330589115412
v_subj(ConStay).5058,1.93409284704,0.247152440339,1.45580436021,1.76612895198,1.92725991789,2.09631651321,2.4388242432,0.00379575261644
v_subj(ConSwitch).5058,1.43857227874,0.201812939806,1.03875478664,1.30217995841,1.43700429985,1.57375477127,1.83511201538,0.00323147462196
v_subj(IncStay).5058,0.999395573844,0.221514797857,0.574511106045,0.847363581688,0.998793841834,1.14628880385,1.43467933299,0.00290149997458
v_subj(IncSwitch).5058,0.641588661545,0.182325267395,0.28634675631,0.515843842433,0.639369519061,0.761213846287,1.00670719467,0.00262832527068
v_subj(ConStay).5059,1.55695281865,0.233955162368,1.11882627381,1.39548813974,1.5528580057,1.71683500917,2.00721058702,0.00365856227108
v_subj(ConSwitch).5059,1.35370785702,0.197393294491,0.955898306204,1.22470511657,1.35650883368,1.48396480326,1.75194383137,0.00276021714649
v_subj(IncStay).5059,1.42164374826,0.219388738009,0.994078488884,1.2728110814,1.41926554559,1.56691725083,1.85962976471,0.00326091897706
v_subj(IncSwitch).5059,0.931539366006,0.182452295508,0.582561311459,0.803834829681,0.930519913668,1.05589433359,1.29483807886,0.00260762227382
v_subj(ConStay).5060,2.20572093838,0.244988187576,1.71575427319,2.04111903976,2.20422145556,2.37110148201,2.68150800858,0.00354035109388
v_subj(ConSwitch).5060,1.92985602109,0.227996386497,1.48628877793,1.7734341275,1.93108669269,2.08309730267,2.37464994109,0.00361066516769
v_subj(IncStay).5060,1.62726985565,0.209128288758,1.22230185627,1.48799864704,1.62657143015,1.76839226479,2.03997174921,0.00335911570482
